source_family	source_id	source_date	source_amount	reason_code	reason_text	recommended_action
maintenance_receipts	1914	2020-08-08	2200.00	mixed_family	Financial receipt #1914 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	2257	2020-08-11	7500.00	mixed_family	Financial receipt #2257 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	1660	2020-10-03	9900.00	mixed_family	Financial invoice #10909 contains multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	4039	2020-10-05	4500.00	mixed_family	Financial invoice #10909 contains multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	5372	2020-12-02	11200.00	mixed_family	Financial receipt #5372 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	6256	2020-12-02	13200.00	mixed_family	Financial receipt #6256 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	574	2020-12-03	9900.00	mixed_family	Financial invoice #16380 contains multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	5509	2020-12-03	7500.00	mixed_family	Financial receipt #5509 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	3275	2021-03-14	66554.00	mixed_family	Financial receipt #3275 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	3277	2021-03-15	51610.00	mixed_family	Financial receipt #3277 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	3303	2021-03-28	11114.00	mixed_family	Financial receipt #3303 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	3406	2021-04-06	115820.00	mixed_family	Financial receipt #3406 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	3549	2021-05-20	15000.00	mixed_family	Financial receipt #3549 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
